RANGO;NUMEROS PRIMOS;DURACION
405000000-406000000;50559;1.51251
406000000-407000000;50441;1.50839
407000000-408000000;50360;1.50599
408000000-409000000;50410;1.51451
409000000-410000000;50353;1.51417
410000000-411000000;50501;1.51822
411000000-412000000;50360;1.50568
412000000-413000000;50423;1.51235
413000000-414000000;50408;1.51468
414000000-415000000;50420;1.52229
415000000-416000000;50399;1.5195
416000000-417000000;50424;1.52003
417000000-418000000;50383;1.52313
418000000-419000000;50311;1.80249
419000000-420000000;50137;1.88721
420000000-421000000;50385;1.5579
421000000-422000000;50446;1.51415
422000000-423000000;50288;1.51649
423000000-424000000;50420;1.52326
424000000-425000000;50490;1.51909
425000000-426000000;50431;1.52745
426000000-427000000;50151;1.52508
427000000-428000000;50305;1.53557
428000000-429000000;50385;1.51285
429000000-430000000;50270;1.52126
430000000-431000000;50310;1.52008
431000000-432000000;50191;1.53567
432000000-433000000;50245;1.52199
433000000-434000000;50168;1.53115
434000000-435000000;50477;1.53792
435000000-436000000;50215;1.5458
436000000-437000000;50194;1.51076
437000000-438000000;50250;1.51458
438000000-439000000;50374;1.51544
439000000-440000000;50081;1.52362
440000000-441000000;50401;1.51807
441000000-442000000;50264;1.52207
442000000-443000000;50407;1.51965
443000000-444000000;50197;1.53031
444000000-445000000;50211;1.51985
445000000-446000000;50031;1.52168
446000000-447000000;50312;1.5189
447000000-448000000;50289;1.52943
448000000-449000000;50167;1.5332
449000000-450000000;50204;1.53148
450000000-451000000;50118;1.53233
451000000-452000000;50222;1.54243
452000000-453000000;50082;1.5432
453000000-454000000;50275;1.51749
454000000-455000000;50110;1.52496
455000000-456000000;50268;1.57273
456000000-457000000;50326;1.6081
457000000-458000000;49854;1.52446
458000000-459000000;50115;1.52896
459000000-460000000;50140;1.72318
460000000-461000000;50082;1.85747
461000000-462000000;50122;1.65842
462000000-463000000;50254;1.53412
463000000-464000000;50190;1.53348
464000000-465000000;49975;1.5387
465000000-466000000;50199;1.54104
466000000-467000000;50191;1.53603
467000000-468000000;50152;1.54899
468000000-469000000;50075;1.54515
469000000-470000000;49930;1.54232
470000000-471000000;50123;1.49587
471000000-472000000;50181;1.51247
472000000-473000000;49846;1.50725
473000000-474000000;50054;1.52978
474000000-475000000;49908;1.51199
475000000-476000000;50066;1.52831
476000000-477000000;50051;1.52023
477000000-478000000;50224;1.52904
478000000-479000000;50033;1.51403
479000000-480000000;50220;1.52444
480000000-481000000;50001;1.51748
481000000-482000000;49949;1.53618
482000000-483000000;49960;1.52528
483000000-484000000;50017;1.53205
484000000-485000000;50090;1.53726
485000000-486000000;50019;1.54215
486000000-487000000;49956;1.52726
487000000-488000000;50011;1.52163
488000000-489000000;49816;1.52188
489000000-490000000;50125;1.53016
490000000-491000000;49937;1.5278
491000000-492000000;49896;1.53049
492000000-493000000;50009;1.53243
493000000-494000000;50042;1.53722
494000000-495000000;49855;1.54216
495000000-496000000;50127;1.52895
496000000-497000000;49885;1.53273
497000000-498000000;49965;1.53681
498000000-499000000;49894;1.53931
499000000-500000000;49889;1.53405
500000000-501000000;49918;1.6357
501000000-502000000;49758;1.88586
502000000-503000000;49591;1.7059
503000000-504000000;50038;1.53214
504000000-505000000;49851;1.51542
505000000-506000000;49806;1.53031
506000000-507000000;49925;1.52923
507000000-508000000;49813;1.53233
508000000-509000000;49821;1.52348
509000000-510000000;49864;1.53602
510000000-511000000;49651;1.53086
511000000-512000000;49919;1.54255
512000000-513000000;49842;1.52419
513000000-514000000;49799;1.53338
514000000-515000000;49667;1.53073
515000000-516000000;49794;1.54496
516000000-517000000;50077;1.53557
517000000-518000000;49948;1.53734
518000000-519000000;49867;1.54525
519000000-520000000;49871;1.55107
520000000-521000000;49694;1.52343
521000000-522000000;49806;1.53375
522000000-523000000;49760;1.53413
523000000-524000000;49894;1.54065
524000000-525000000;49765;1.53441
525000000-526000000;49707;1.54308
526000000-527000000;49880;1.53936
527000000-528000000;49953;1.54979
528000000-529000000;49792;1.538
529000000-530000000;49760;1.54656
530000000-531000000;49734;1.54158
531000000-532000000;49727;1.55392
532000000-533000000;49823;1.54133
533000000-534000000;49771;1.59328
534000000-535000000;49691;1.68227
535000000-536000000;49887;1.55408
536000000-537000000;49789;1.54612
537000000-538000000;49789;1.48392
538000000-539000000;49694;1.49382
539000000-540000000;49778;1.49903
540000000-541000000;49746;1.50422
541000000-542000000;49647;1.62987
542000000-543000000;49639;1.79715
543000000-544000000;49572;1.66189
544000000-545000000;49664;1.51396
545000000-546000000;49811;1.50256
546000000-547000000;49558;1.49719
547000000-548000000;49833;1.51298
548000000-549000000;49735;1.50564
549000000-550000000;49770;1.51394
550000000-551000000;49864;1.51061
551000000-552000000;49740;1.52099
552000000-553000000;49807;1.51807
553000000-554000000;49707;1.51901
554000000-555000000;49520;1.49591
555000000-556000000;49623;1.50606
556000000-557000000;49639;1.49842
557000000-558000000;49725;1.51691
558000000-559000000;49687;1.50443
559000000-560000000;49482;1.51986
560000000-561000000;49641;1.51273
561000000-562000000;49705;1.52806
562000000-563000000;49623;1.49904
563000000-564000000;49685;1.5169
564000000-565000000;49550;1.51063
565000000-566000000;49579;1.52848
566000000-567000000;49551;1.5191
567000000-568000000;49656;1.53018
568000000-569000000;49698;1.5268
569000000-570000000;49448;1.53855
570000000-571000000;49569;1.50828
571000000-572000000;49552;1.5076
572000000-573000000;49659;1.49859
573000000-574000000;49665;1.50865
574000000-575000000;49571;1.5065
575000000-576000000;49505;1.51149
576000000-577000000;49653;1.51456
577000000-578000000;49521;1.52403
578000000-579000000;49473;1.51613
579000000-580000000;49721;1.50978
580000000-581000000;49547;1.50883
581000000-582000000;49462;1.52008
582000000-583000000;49739;1.52858
583000000-584000000;49603;1.77912
584000000-585000000;49329;1.81468
585000000-586000000;49515;1.54729
586000000-587000000;49507;1.52921
587000000-588000000;49533;1.51579
588000000-589000000;49393;1.50789
589000000-590000000;49741;1.52312
590000000-591000000;49677;1.52235
591000000-592000000;49626;1.52746
592000000-593000000;49415;1.52039
593000000-594000000;49487;1.53111
594000000-595000000;49473;1.52847
595000000-596000000;49781;1.53161
596000000-597000000;49581;1.51365
597000000-598000000;49332;1.52878
598000000-599000000;49417;1.52413
599000000-600000000;49370;1.53818
600000000-601000000;49623;1.52646
601000000-602000000;49443;1.53853
602000000-603000000;49477;1.53272
603000000-604000000;49756;1.55055
604000000-605000000;49477;1.49054
605000000-606000000;49207;1.50525
606000000-607000000;49509;1.49992
607000000-608000000;49433;1.51608
608000000-609000000;49418;1.50214
609000000-610000000;49398;1.51633
610000000-611000000;49432;1.51074
611000000-612000000;49338;1.53269
612000000-613000000;49620;1.59074
613000000-614000000;49365;1.62836
614000000-615000000;49472;1.50873
615000000-616000000;49439;1.52321
616000000-617000000;49287;1.51843
617000000-618000000;49084;1.52676
618000000-619000000;49419;1.51869
619000000-620000000;49488;1.53955
620000000-621000000;49389;1.51847
621000000-622000000;49317;1.51187
622000000-623000000;49310;1.50949
623000000-624000000;49446;1.52397
624000000-625000000;49485;1.73899
625000000-626000000;49220;1.83892
626000000-627000000;49431;1.61818
627000000-628000000;49619;1.53421
628000000-629000000;49319;1.53258
629000000-630000000;49305;1.52894
630000000-631000000;49294;1.52335
631000000-632000000;49446;1.53352
632000000-633000000;49147;1.52764
633000000-634000000;49285;1.53342
634000000-635000000;49407;1.5294
635000000-636000000;49380;1.54194
636000000-637000000;49382;1.53955
637000000-638000000;49365;1.52671
638000000-639000000;49261;1.50635
639000000-640000000;49254;1.51838
640000000-641000000;49513;1.52108
641000000-642000000;49218;1.52498
642000000-643000000;49274;1.51545
643000000-644000000;49204;1.52971
644000000-645000000;49098;1.52234
645000000-646000000;49503;1.5367
646000000-647000000;49213;1.50679
647000000-648000000;49400;1.5365
648000000-649000000;49257;1.5239
649000000-650000000;49265;1.54095
650000000-651000000;49427;1.52177
651000000-652000000;49171;1.53823
652000000-653000000;49293;1.53034
653000000-654000000;49322;1.54674
654000000-655000000;49183;1.5205
655000000-656000000;49200;1.52829
656000000-657000000;49320;1.52099
657000000-658000000;49323;1.53673
658000000-659000000;49222;1.52593
659000000-660000000;49314;1.53327
660000000-661000000;49291;1.52892
661000000-662000000;49327;1.54937
662000000-663000000;49199;1.53904
663000000-664000000;49333;1.5331
664000000-665000000;49004;1.53295
665000000-666000000;49356;1.67353
666000000-667000000;49201;1.83585
667000000-668000000;49065;1.69989
668000000-669000000;49212;1.54575
669000000-670000000;49161;1.55058
670000000-671000000;49349;1.55034
671000000-672000000;49070;1.50317
672000000-673000000;49318;1.49807
673000000-674000000;49163;1.50963
674000000-675000000;49129;1.50904
675000000-676000000;49084;1.51012
676000000-677000000;49056;1.50601
677000000-678000000;49063;1.52279
678000000-679000000;49292;1.5156
679000000-680000000;49324;1.51903
680000000-681000000;48858;1.50073
681000000-682000000;49242;1.51945
682000000-683000000;48937;1.51025
683000000-684000000;49263;1.5276
684000000-685000000;49275;1.51417
685000000-686000000;49219;1.53107
686000000-687000000;49307;1.52374
687000000-688000000;49021;1.53922
688000000-689000000;49253;1.50165
689000000-690000000;49205;1.52559
690000000-691000000;49289;1.52395
691000000-692000000;49067;1.68417
692000000-693000000;49020;1.50778
693000000-694000000;49041;1.52544
694000000-695000000;49306;1.51999
695000000-696000000;49259;1.54279
696000000-697000000;49101;1.51468
697000000-698000000;48987;1.52561
698000000-699000000;48970;1.52012
699000000-700000000;49144;1.53265
700000000-701000000;49058;1.52633
701000000-702000000;49157;1.53467
702000000-703000000;49171;1.53311
703000000-704000000;49061;1.54314
704000000-705000000;49046;1.52233
705000000-706000000;49100;1.50754
706000000-707000000;49028;1.57133
707000000-708000000;49133;1.83003
708000000-709000000;49097;1.70952
709000000-710000000;49123;1.51679
710000000-711000000;48926;1.52159
711000000-712000000;49081;1.52553
712000000-713000000;49165;1.52863
713000000-714000000;48935;1.51441
714000000-715000000;49028;1.51572
715000000-716000000;48838;1.52388
716000000-717000000;49106;1.51846
717000000-718000000;49101;1.53112
718000000-719000000;48916;1.51939
719000000-720000000;49047;1.53585
720000000-721000000;49179;1.53718
721000000-722000000;49007;1.52565
722000000-723000000;49076;1.51233
723000000-724000000;49128;1.52669
724000000-725000000;49075;1.52364
725000000-726000000;48877;1.53294
726000000-727000000;48906;1.5228
727000000-728000000;49187;1.53942
728000000-729000000;48871;1.53159
729000000-730000000;48816;1.54736
730000000-731000000;48977;1.52481
731000000-732000000;48983;1.53857
732000000-733000000;48939;1.52999
733000000-734000000;49022;1.55002
734000000-735000000;48867;1.52712
735000000-736000000;49025;1.54985
736000000-737000000;48916;1.53515
737000000-738000000;48971;1.55777
738000000-739000000;49042;1.50839
739000000-740000000;49075;1.51748
740000000-741000000;48995;1.51052
741000000-742000000;49195;1.52525
742000000-743000000;48949;1.51751
743000000-744000000;48763;1.52322
744000000-745000000;48943;1.51964
745000000-746000000;48852;1.53439
746000000-747000000;48728;1.52238
747000000-748000000;49033;1.5279
748000000-749000000;48693;1.81069
749000000-750000000;49043;1.84954
750000000-751000000;48793;1.52784
751000000-752000000;48969;1.53335
752000000-753000000;48925;1.52999
753000000-754000000;48743;1.54295
754000000-755000000;48977;1.53749
755000000-756000000;49232;1.52786
756000000-757000000;48897;1.522
757000000-758000000;48857;1.52574
758000000-759000000;48631;1.52665
759000000-760000000;49014;1.52842
760000000-761000000;48886;1.52833
761000000-762000000;48976;1.53442
762000000-763000000;49060;1.53928
763000000-764000000;48643;1.53188
764000000-765000000;48711;1.53172
765000000-766000000;48744;1.53292
766000000-767000000;48818;1.54244
767000000-768000000;49014;1.5441
768000000-769000000;48930;1.53941
769000000-770000000;48978;1.65946
770000000-771000000;48939;1.59233
771000000-772000000;48908;1.54721
772000000-773000000;48916;1.51283
773000000-774000000;48755;1.52753
774000000-775000000;48854;1.52079
775000000-776000000;48773;1.53397
776000000-777000000;48773;1.51854
777000000-778000000;48946;1.53918
778000000-779000000;48781;1.53285
779000000-780000000;48852;1.54635
780000000-781000000;48855;1.52237
781000000-782000000;48904;1.53391
782000000-783000000;48858;1.52954
783000000-784000000;48988;1.54482
784000000-785000000;48817;1.53463
785000000-786000000;48936;1.53915
786000000-787000000;48838;1.54198
787000000-788000000;48672;1.55129
788000000-789000000;48898;1.57038
789000000-790000000;49011;1.84984
790000000-791000000;48855;1.80807
791000000-792000000;48856;1.54229
792000000-793000000;48755;1.53984
793000000-794000000;48790;1.53614
794000000-795000000;48611;1.54802
795000000-796000000;48879;1.55083
796000000-797000000;48835;1.54851
797000000-798000000;49001;1.53913
798000000-799000000;48889;1.54354
799000000-800000000;48455;1.54861
800000000-801000000;48848;1.55238
801000000-802000000;48838;1.55157
802000000-803000000;48629;1.55226
803000000-804000000;48680;1.56033
804000000-805000000;49017;1.5633
805000000-806000000;48766;1.51108
806000000-807000000;48894;1.49665
807000000-808000000;48782;1.49794
808000000-809000000;48719;1.5083
809000000-810000000;48835;1.50546
810000000-811000000;48839;1.50656
811000000-812000000;48541;1.51192
812000000-813000000;48704;1.51515
813000000-814000000;48673;1.51903
814000000-815000000;48830;1.50409
815000000-816000000;48800;1.51212
816000000-817000000;48822;1.51569
817000000-818000000;48740;1.5243
818000000-819000000;48730;1.51447
819000000-820000000;48636;1.52814
820000000-821000000;48830;1.52843
821000000-822000000;48614;1.5373
822000000-823000000;48680;1.50416
823000000-824000000;48774;1.51574
824000000-825000000;48490;1.50677
825000000-826000000;48777;1.52561
826000000-827000000;48691;1.51615
827000000-828000000;48599;1.52632
828000000-829000000;48783;1.5251
829000000-830000000;48664;1.5282
830000000-831000000;48714;1.82279
831000000-832000000;48596;1.7983
832000000-833000000;48779;1.52523
833000000-834000000;48740;1.53693
834000000-835000000;48744;1.53331
835000000-836000000;48588;1.53625
836000000-837000000;48644;1.53573
837000000-838000000;48756;1.54181
838000000-839000000;48683;1.5425
839000000-840000000;48762;1.51013
840000000-841000000;48671;1.51453
841000000-842000000;48581;1.51436
842000000-843000000;48822;1.5202
843000000-844000000;48705;1.51907
844000000-845000000;48526;1.51672
845000000-846000000;48680;1.53022
846000000-847000000;48503;1.53379
847000000-848000000;48535;1.55587
848000000-849000000;48852;1.52661
849000000-850000000;48681;1.52757
850000000-851000000;48506;1.52285
851000000-852000000;48580;1.53044
852000000-853000000;48607;1.5315
853000000-854000000;48735;1.53577
854000000-855000000;48670;1.53725
855000000-856000000;48652;1.5346
856000000-857000000;48524;1.51182
857000000-858000000;48596;1.52736
858000000-859000000;48656;1.52154
859000000-860000000;48348;1.53299
860000000-861000000;48502;1.52727
861000000-862000000;48565;1.53571
862000000-863000000;48644;1.53223
863000000-864000000;48609;1.54818
864000000-865000000;48665;1.51896
865000000-866000000;48585;1.53252
866000000-867000000;48536;1.5323
867000000-868000000;48788;1.54225
868000000-869000000;48575;1.53486
869000000-870000000;48579;1.54491
870000000-871000000;48613;1.53687
